date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,sale_year,sale_month,house_age,was_renovated,total_rooms,price_per_sqft,zipcode,age_bucket,years_since_renovation,renovation_recency_ratio,has_basement,basement_ratio,above_ratio,lot_utilization,bath_bed_ratio,avg_room_size,premium_outlook_score,condition_x_age,sale_month_sin,sale_month_cos,city_sale_volume,zip_sale_volume,log_sqft_lot,physical_cluster,city_price_index,zip_price_index,price_band,combined_category,friendly_category,is_outlier_price,is_outlier_sqft_living,is_outlier_sqft_lot,is_outlier
2014-05-02,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,2014,5,59,1,4.5,233.5820895522388,98133,51-100y,9.0,0.1525423728813559,0,0.0,1.0,0.1693629929221435,0.5,297.77777777777777,0,177,0.4999999999999999,-0.8660254037844387,123,93,8.976262255609193,3,0.9518056834130662,0.961914709863453,0,Physical Group 3 - Price Band 0,Refreshed Classics -- Budget Tier,0,0,0,0
2014-05-02,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,2014,5,93,0,7.5,653.1506849315068,98119,51-100y,-1.0,-1.0,1,0.0767123287671232,0.9232876712328768,0.4033149171270718,0.5,486.6666666666667,4,465,0.4999999999999999,-0.8660254037844387,1560,49,9.11063052782717,2,1.273555453526203,1.5969316503330535,4,Physical Group 2 - Price Band 4,"Untouched, Finished Below -- Premium Tier",1,0,0,1
2014-05-02,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,2014,5,48,0,5.0,177.2020725388601,98042,26-50y,-1.0,-1.0,0,0.0,1.0,0.1615468318406294,0.6666666666666666,386.0,0,192,0.4999999999999999,-0.8660254037844387,184,98,9.388319179336,0,0.6160717217500002,0.6266379960624312,0,Physical Group 0 - Price Band 0,Untouched Classics -- Budget Tier,0,0,0,0
2014-05-02,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,2014,5,51,0,5.25,210.0,98008,51-100y,-1.0,-1.0,1,0.5,0.5,0.24906600249066,0.75,380.95238095238096,0,204,0.4999999999999999,-0.8660254037844387,281,48,8.991064332188461,2,1.2224469160768452,1.1812062062744093,2,Physical Group 2 - Price Band 2,"Untouched, Finished Below -- Mid-Tier",0,0,0,0
2014-05-02,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,2014,5,38,1,6.5,283.50515463917526,98052,26-50y,22.0,0.5789473684210527,1,0.4123711340206185,0.5876288659793815,0.1847619047619047,0.625,298.46153846153845,0,152,0.4999999999999999,-0.8660254037844387,234,135,9.259225769705994,1,1.1173900767814529,1.1348110888912792,0,Physical Group 1 - Price Band 0,Refreshed & Finished Below -- Budget Tier,0,0,0,0
2014-05-02,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,2014,5,76,1,3.0,556.8181818181819,98115,51-100y,20.0,0.2631578947368421,0,0.0,1.0,0.1379310344827586,0.5,293.3333333333333,0,228,0.4999999999999999,-0.8660254037844387,1560,129,8.761080103868347,3,1.273555453526203,1.334682065916779,2,Physical Group 3 - Price Band 2,Refreshed Classics -- Mid-Tier,0,0,0,0
2014-05-02,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,2014,5,38,0,4.0,248.14814814814812,98052,26-50y,-1.0,-1.0,0,0.0,1.0,0.52734375,1.0,337.5,0,114,0.4999999999999999,-0.8660254037844387,234,135,7.848153086199526,0,1.1173900767814529,1.1348110888912792,3,Physical Group 0 - Price Band 3,Untouched Classics -- Upper-Mid Tier,0,0,0,0
2014-05-02,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,2014,5,25,0,6.5,177.85977859778598,98038,11-25y,-1.0,-1.0,0,0.0,1.0,0.0755548120887699,0.625,416.9230769230769,0,75,0.4999999999999999,-0.8660254037844387,95,95,10.48762869168776,0,0.678100324948479,0.678100324948479,2,Physical Group 0 - Price Band 2,Untouched Classics -- Mid-Tier,0,0,1,1
2014-05-02,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,2014,5,29,0,5.5,186.2139917695473,98045,26-50y,-1.0,-1.0,1,0.3539094650205761,0.6460905349794238,0.027480605251849,0.8333333333333334,441.8181818181818,0,116,0.4999999999999999,-0.8660254037844387,50,50,11.389932631855782,2,0.8061062997318328,0.8061062997318328,0,Physical Group 2 - Price Band 0,"Untouched, Finished Below -- Budget Tier",0,0,1,1
2014-05-02,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,2014,5,69,1,6.0,421.05263157894734,98115,51-100y,4.0,0.0579710144927536,0,0.0,1.0,0.2451612903225806,0.5,253.33333333333331,0,207,0.4999999999999999,-0.8660254037844387,1560,129,8.732465848349879,3,1.273555453526203,1.334682065916779,2,Physical Group 3 - Price Band 2,Refreshed Classics -- Mid-Tier,0,0,0,0
